gene_symbol	associated_genes
AVP	ZSCAN5B,  NKX2-4,  PPOX,  OXT,  GOLGA6L6,  KRTAP21-2,  IL21,  GOLGA8F,  PMCH,  HCRT,  OTP,  CALCR,  AVP,  OR3A2,  MRGPRG,  C1orf129,  CRYGC,  TRIM60,  GOLGA6D,  EDDM3A
ZSCAN5B	ZSCAN5A,ZNF500,ZKSCAN8,ZNF18,ZNF449,ZKSCAN1,ZKSCAN7,ZNF232,ZSCAN25,ZSCAN12,ZSCAN31,ZNF782,ZSCAN30,ZKSCAN3,ZNF174,ZKSCAN4,ZNF235,ZFP28,ZNF709,ZNF214,ZNF227,ZNF155,ZSCAN2,ZFP112,ZNF93,ZNF234,ZNF71,ZNF510,ZNF182,ZNF84,ZNF717,ZNF84,ZNF45,ZNF470,ZNF552,ZNF205,ZNF433,ZNF429,ZNF570,ZNF229,ZFP37,ZNF674,ZNF583,ZNF233,ZNF565,ZNF677,ZNF322,ZNF544,ZNF322,ZNF14,ZNF792,ZNF567,ZNF569,ZNF226,ZFP2,ZNF184,ZNF596,ZNF79,ZNF624,ZNF726,ZNF454,ZNF700,ZNF730,ZSCAN32,ZFP90,ZNF699,ZNF91,ZNF461,ZNF628,ZNF551,ZNF658B,ZNF658,ZNF658B,ZNF239,ZNF761,ZNF836,ZNF678,ZNF878,ZNF300,ZNF211,ZNF672,ZNF689,ZNF791,ZNF626,ZNF675,ZNF221,ZNF813,ZNF879,ZNF680,ZNF527,ZNF787,REPIN1,ZNF629,ZNF554,ZNF585B,ZNF224,ZNF180,ZNF578,ZNF28,ZNF320
UTF1	ZSCAN32,HSPA14,ZSCAN29
ZSCAN16	ZSCAN31,ZSCAN23,ZSCAN9,ZNF24,ZNF397,ZSCAN12,ZKSCAN3,ZSCAN21,ZKSCAN4,ZNF232,ZSCAN30,ZNF165,ZSCAN22,ZKSCAN8,ZNF75D,ZNF396,ZNF500,ZSCAN2,ZNF394,ZNF174,ZNF213,ZKSCAN1,SCAND3,SCAND3,ZFP3,ZNF3,ZSCAN20,ZNF135,ZNF660,ZNF483,ZNF416,ZNF70,ZNF850,ZNF665,ZNF286B,ZNF667,ZNF514,ZNF502,ZFP14,ZNF287,ZNF551,ZNF184,ZNF623,ZNF782,ZNF79,ZNF286A,ZFP112,ZNF300,ZNF436,ZNF568,ZNF214,ZNF93,ZNF345,ZNF420,ZNF229,ZNF879,ZNF572,ZNF34,ZNF252P,ZFP90,ZNF19,ZNF429,ZNF383,ZNF180,ZNF160,ZNF677,ZNF582,ZNF630,ZNF695,ZNF761,ZNF419,ZNF566,ZNF22,ZNF71,ZNF154,ZNF195,ZNF10,ZNF708,ZNF91,ZNF586,ZNF8,ZFP2,ZNF250,ZNF16,ZNF594,ZNF808,ZNF347,ZNF480,ZNF835,ZNF852,ZNF85,ZNF565,ZNF235,ZNF415,ZNF773,ZNF7,ZNF84,ZNF304,ZNF84,ZNF790
SCAND2P	ZSCAN31,ZNF263,ZNF202,ZSCAN20,ZKSCAN5,ZSCAN32,ZNF496,ZNF500,ZNF213,ZKSCAN2,ZNF397,ZNF24,ZSCAN29,ZNF232,SCAND3,ZNF394,SCAND3,ZKSCAN8,ZNF18,ZSCAN12,ZSCAN25,ZSCAN23,ZKSCAN1,ZSCAN30,ZNF75D,ZSCAN16,ZKSCAN4,ZKSCAN3,ZNF483,ZNF197,ZNF396,ZKSCAN7,ZSCAN9,ZSCAN21,ZNF165,MZF1,ZNF174,ZNF445,PGBD1,ZSCAN22,ZNF287,ZNF274,ZNF446,ZNF215,ZNF449,ZNF444,ZSCAN18,ZSCAN1,ZSCAN2,PEG3,SCAND1,ZSCAN5B,ZSCAN10,ZSCAN5A
ZNF165	ZSCAN30,ZNF397,ZKSCAN8,ZSCAN12,ZKSCAN1,ZSCAN21,ZKSCAN3,ZSCAN31,ZKSCAN4,ZSCAN22,ZNF232,ZSCAN2,ZNF394,ZSCAN9,ZNF483,ZSCAN23,ZNF3,ZNF251,ZSCAN16,ZFP3,ZNF383,ZNF135,ZNF391,ZNF23,ZNF347,ZNF681,ZNF345,ZNF665,ZNF479,ZKSCAN7,GLI4,ZNF16,ZNF551,ZNF132,ZNF286B,ZNF211,ZNF436,ZNF93,ZNF180,ZNF543,ZNF792,ZNF534,ZNF70,ZNF502,ZNF184,ZNF34,ZNF79,ZNF286A,ZNF420,ZNF708,ZNF570,ZNF160,ZNF415,ZNF548,ZNF35,ZNF852,ZNF790,ZNF829,ZNF629,ZNF720,ZNF429,ZNF565,ZNF529,PRDM9,ZNF84,ZNF850,ZNF566,ZNF805,ZNF84,ZNF471,ZNF311,ZNF623,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF33B,ZNF606,ZNF544,ZNF91,ZNF582,ZFP28,ZNF773,ZNF879,ZNF624,ZNF30,ZNF10,ZNF519,ZNF714,ZNF569,ZFP2,ZNF678,ZNF85,ZNF43,ZNF431,ZNF461,ZNF585A,ZNF585B
ZSCAN20	ZSCAN29,ZKSCAN2,ZSCAN2,ZFP2,ZKSCAN7,ZNF665,ZNF502,ZNF79,ZNF160,ZNF852,ZNF135,ZNF23,ZNF180,ZNF568,ZNF629,ZNF287,ZNF420,ZNF84,ZNF84,ZNF98,ZNF616,ZNF184,ZNF256,ZNF484,ZNF544,ZNF492,ZNF585B,ZNF235,ZNF300,ZNF436,ZNF879,ZNF16,ZNF658,ZNF850,ZNF675,ZNF71,ZNF132,ZNF658B,ZNF658B,ZNF347,ZNF85,ZNF45,ZNF229,ZNF678,ZNF585A,ZNF345,ZNF813,ZFP28,ZNF470,ZNF471,ZNF814,ZNF624,ZNF605,ZNF569,ZNF880,ZNF93,ZNF708,ZNF429,ZNF226,ZNF551,ZNF418,ZNF836,ZNF567,PRDM9,ZNF227,ZNF250,ZNF182,ZNF630,ZNF304,ZNF774,ZNF267,ZFP37,ZNF883,ZFP3,ZNF606,ZNF107,ZNF41,ZFP112,ZNF845,ZNF726,ZNF208,ZNF43,ZNF383,ZNF570,ZNF543,ZNF91,ZNF728,ZNF594,ZNF83,ZNF681,ZNF28,ZNF572,ZNF7,ZNF835,ZNF528,ZNF329,ZNF33A,ZNF565,ZNF224,ZNF674
ZSCAN32	ZSCAN29,ZKSCAN2,ZNF263,ZKSCAN7,ZNF197,ZSCAN20,ZFP2,ZNF436,ZNF71,ZNF135,ZNF160,ZNF180,ZNF79,ZKSCAN1,ZNF300,ZNF286A,ZNF681,ZNF502,ZNF286B,ZNF629,ZNF708,ZNF227,ZNF239,ZNF665,ZNF91,ZNF675,ZNF235,ZNF391,ZNF572,ZNF782,ZSCAN2,ZNF431,ZNF429,ZNF565,ZNF45,ZNF70,ZNF3,ZNF16,ZNF658B,ZNF658,ZNF658B,ZNF214,ZNF664,ZNF329,ZNF184,ZNF41,ZNF84,ZFP112,ZNF485,ZNF84,ZNF85,ZNF211,ZSCAN30,ZSCAN22,ZNF397,ZNF544,ZNF678,ZNF205,ZNF287,ZNF519,ZNF226,ZNF677,ZNF606,ZNF251,ZNF483,ZNF836,ZNF726,ZNF570,ZNF551,PRDM9,ZNF34,ZNF852,ZNF735,ZNF98,ZNF420,ZNF585B,ZNF383,ZNF616,ZNF578,ZNF813,ZNF470,ZNF132,ZKSCAN8,ZNF182,ZNF630,ZNF577,ZNF454,ZNF891,ZNF37A,ZNF33B,ZNF774,ZNF267,ZNF19,ZNF554,ZNF93,ZNF493,ZNF229,ZFP28,ZNF12,ZNF679
MSANTD1	ZSCAN29
SCAND1	ZSCAN25,MZF1,ZKSCAN4,ZKSCAN3,SCAND3,SCAND3,ZSCAN20,ZNF263,ZNF496,ZSCAN29,ZKSCAN8,ZSCAN31,ZSCAN30,ZNF394,ZSCAN16,ZNF75D,ZSCAN12,PGBD1,ZSCAN23,ZNF174,ZNF24,ZKSCAN5,ZNF483,ZKSCAN1,ZNF165,ZNF202,ZNF500,ZNF287,ZSCAN21,ZNF396,ZNF215,ZNF213,ZNF197,ZNF274,ZNF449,ZNF397,ZKSCAN2,ZNF444,ZNF446,ZKSCAN7,ZSCAN9,ZNF232,ZSCAN18,ZNF18,ZNF445,ZSCAN32,ZSCAN1,SCAND2P,ZSCAN5B,PEG3,ZSCAN10,ZSCAN22,ZSCAN5A,ZSCAN2
ZSCAN9	ZSCAN23,ZSCAN31,ZSCAN12,ZSCAN16,ZNF397,ZNF232,ZNF24,ZSCAN21,ZNF165,ZSCAN30,ZKSCAN1,ZSCAN2,ZKSCAN8,ZKSCAN3,ZKSCAN4,ZSCAN22,ZNF75D,ZNF394,ZNF500,ZNF396,ZNF551,ZNF3,ZNF383,ZNF586,ZNF34,ZNF16,ZNF189,ZNF436,ZNF418,ZNF135,ZNF154,ZKSCAN7,ZNF623,ZNF850,ZNF286B,ZNF252P,ZNF852,ZFP3,ZNF470,ZNF502,ZNF286A,ZNF211,ZNF174,ZNF180,ZNF184,ZSCAN20,ZNF675,ZNF792,ZNF420,ZNF671,ZNF132,ZNF84,ZNF84,ZNF429,ZNF548,ZNF530,ZNF70,ZNF883,ZNF570,ZNF616,ZNF534,ZNF677,ZNF256,ZFP2,ZNF572,ZNF7,ZNF79,ZNF527,ZNF304,ZNF629,ZNF568,ZNF251,ZNF480,ZNF829,ZNF267,ZNF345,ZNF391,ZNF83,ZNF419,ZNF619,ZFP90,ZNF23,ZNF567,ZIK1,ZNF134,ZNF501,ZNF879,ZNF483,ZNF544,ZNF300,ZNF10,ZNF565,ZNF471,ZNF107,ZNF250,ZNF484,ZNF630,ZNF583,ZNF22,ZNF605
ZNF444	ZSCAN22,ZSCAN23,ZSCAN31,ZSCAN2,ZNF24,ZSCAN30,ZKSCAN5,PRDM9,ZNF697,ZNF436,ZNF777,ZNF467,ZNF534,ZNF835,ZNF460,ZNF497,ZNF594,ZNF347,ZFP92,ZNF37A,ZNF605,ZNF10,ZNF84,ZNF805,ZNF84,ZNF202,ZSCAN10,ZNF232,ZNF543,ZNF391,ZNF696,ZNF157,ZNF672,ZNF267,HKR1,ZNF71,ZNF837,ZNF184,ZNF16,ZNF75D,ZNF331,ZNF165,ZNF33B,ZNF519,ZNF471,ZNF606,ZNF70,ZNF662,ZNF3,ZNF841,ZNF300,ZNF629,ZFP3,ZNF287,ZNF649,ZNF613,ZNF470,ZNF814,ZNF12,GLI4,ZNF250,ZNF630,ZNF146,ZNF527,ZNF154,ZNF248,ZNF213,ZNF33A,ZNF681,ZNF180,ZNF264,ZKSCAN8,ZKSCAN4,ZNF484,ZNF695,ZNF397,ZNF48,ZNF25,ZNF140,ZNF774,ZNF682,ZNF429,ZNF234,ZNF28,ZNF813,ZNF329,ZNF502,ZNF572,ZNF169,ZNF674,ZNF286A,ZFP14,ZNF479,ZNF268,ZNF780A,ZNF304,ZNF22,ZNF205,ZNF263,ZNF768
ZNF174	ZSCAN21,ZSCAN12,ZNF500,ZSCAN23,ZKSCAN7,ZNF397,ZKSCAN3,MZF1,ZKSCAN4,ZNF394,ZSCAN30,ZSCAN22,ZSCAN16,ZSCAN31,ZKSCAN8,ZNF165,ZNF232,ZSCAN9,ZSCAN25,ZNF24,ZNF263,ZNF449,ZSCAN2,ZNF446,ZNF483,ZNF274,ZNF202,ZNF496,ZNF3,ZSCAN1,SCAND3,SCAND3,ZKSCAN1,ZNF396,ZKSCAN2,ZNF18,ZSCAN29,ZNF679,ZFP112,ZNF234,ZNF226,ZNF180,ZNF473,ZNF578,ZSCAN32,ZNF239,ZNF214,ZNF253,ZNF160,ZNF814,ZNF572,ZNF782,ZNF479,ZNF416,ZNF135,ZNF721,ZNF510,ZNF157,ZNF665,ZNF485,ZNF286B,ZNF678,ZNF233,ZNF429,ZIK1,ZNF484,ZNF382,ZFP62,ZNF436,ZNF22,ZNF664,ZNF91,ZNF585A,ZNF585B,ZNF816,ZNF418,ZNF879,ZNF16,ZNF79,ZNF630,ZNF286A,ZNF347,ZNF544,ZNF735,ZNF300,ZSCAN20,ZNF629,ZNF792,ZNF383,ZNF227,ZNF616,ZNF28,ZNF71,ZNF606,ZNF502,ZNF251,ZNF658,ZNF41,ZNF845,ZNF85
ZNF691	ZSCAN2,ZNF79,ZNF554,ZNF214,ZNF568,ZNF436,ZNF180,ZNF572,ZNF41,ZNF782,ZNF544,ZNF551,ZNF391,ZNF205,ZFP2,ZNF16,ZNF726,ZNF629,ZNF28,ZNF135,ZKSCAN7,ZFP1,ZNF717,ZNF300,ZNF10,ZNF45,ZNF3,ZNF182,ZNF836,ZNF585B,ZNF569,ZNF813,ZNF665,ZNF485,ZNF253,ZNF492,ZNF502,ZNF484,ZNF84,ZNF841,ZNF883,ZNF84,ZNF43,ZNF211,ZNF287,ZNF675,ZNF567,ZNF585A,ZNF235,ZNF71,ZNF329,ZNF624,ZNF774,ZNF98,ZNF227,ZNF814,ZNF418,ZNF879,ZFP37,ZNF239,ZNF286A,ZNF248,ZNF91,ZNF226,ZNF667,ZNF773,ZNF530,ZNF132,ZNF251,ZNF658B,ZNF658,ZNF658B,ZNF286B,ZNF583,ZNF626,ZNF229,ZNF160,ZNF70,ZNF189,ZNF630,ZNF397,ZNF154,ZNF852,ZNF678,ZNF33A,ZNF730,ZNF33B,ZNF605,ZNF345,ZNF471,ZNF606,PRDM9,ZNF7,ZNF25,ZNF93,ZNF420,ZNF623,ZFP112,ZNF133,ZNF835
ZNF774	ZSCAN2,ZNF436,ZNF629,ZNF180,ZNF84,ZNF84,ZNF135,ZNF544,ZNF182,ZNF852,ZKSCAN7,ZNF16,ZNF568,ZFP2,ZNF567,PRDM9,ZNF34,ZNF250,ZNF569,ZNF329,ZFP3,ZNF267,ZNF630,ZNF300,ZNF235,ZNF551,ZNF606,ZNF572,ZNF41,ZNF835,ZNF605,ZNF287,ZNF502,ZNF189,ZNF418,ZNF256,ZNF268,ZFP37,ZNF71,ZNF850,ZNF33B,ZNF565,ZNF45,ZNF132,ZNF583,ZNF471,ZNF782,ZNF432,ZNF470,ZNF23,ZNF420,ZNF615,ZNF623,ZFP112,ZNF226,ZNF160,ZNF184,ZNF304,ZNF717,ZNF93,ZNF879,ZNF7,ZNF665,ZNF33A,ZNF25,ZNF543,ZNF251,ZNF484,ZSCAN20,ZNF813,ZNF530,ZNF79,ZNF83,ZNF85,ZNF497,ZNF658B,ZNF658B,ZNF624,ZNF726,ZNF658,ZNF587,ZNF814,ZNF417,ZNF345,ZNF585B,ZNF227,ZNF678,ZNF133,ZNF585A,ZNF229,ZNF416,ZNF10,ZFP28,ZNF708,ZNF28,ZNF347,ZNF737,ZNF98,ZNF91,ZNF12
DNASE1	ZSCAN2,  ZNF625,  DNASE1,  TRIM39,  ZNF132,  G2E3,  ZNF780A,  GPR35,  ZNF596,  ZSCAN12,  ZNF28,  ZNF525,  ZNF180,  ZNF20,  FLVCR1,  EIF2C3,  AGAP5,  NSUN3,  ZNF77,  GPATCH2,  DDX39B,  ZNF567,  CCR6
CD200	ZSCAN18,  TRO,  GUCY1B3,  SERGEF,  CD200,  MAPK11,  ZNF25,  HSPA13,  ARHGEF9,  TPH1,  ARL3,  CRMP1,  NAT14,  AKAP11,  IDS,  POU6F1,  SLC9A6,  RAP2A,  CASD1,  TMEM25
ZNF25	ZSCAN18,  TMEM55A,  UBE2V2,  CDC42BPA,  PREPL,  ZNF25,  TPH1,  KLHL22,  TNRC6C,  COX11,  ZNF187,  MECP2,  RRAGB,  SCAMP1,  POU6F1,  CDS2,  SERGEF,  ZFYVE9,  HERC2,  TERF1,  VAMP4
POU6F1	ZSCAN18,  SENP7,  ZNF25,  ZNF34,  EPC2,  KLHL22,  MLL,  TNRC6C,  FBXL20,  KMT2A,  RABL2A,  RRAGB,  RABL2B,  POU6F1,  CROCC,  HNRNPA1L2,  SERGEF,  THAP3,  ZFYVE9,  ANKS3,  ZFYVE20
